URI,HW3 Mementos,Current Mementos,Difference,HW3 File,Current File
https://www.odu.edu/partnerships/community,33,247,214,timemap_197.json.gz,timemap_f8dba3db6742310f87cb6cf3da27f6fd.json.gz
https://www.odu.edu/alumni,273,282,9,timemap_198.json.gz,timemap_fbd8efaf8f277ac392a7a64a2e198150.json.gz
https://www.odu.edu/admission/admitted/graduate,126,133,7,timemap_199.json.gz,timemap_c9f449e22a840379b0b87df9b4fd4618.json.gz
https://www.ripta.com/human-services-transportation-coordination/,52,59,7,timemap_2.json.gz,timemap_ffafcd589f4710a9f54fb188fd636a9b.json.gz
https://www.ripta.com/city-pocket-maps/,2,43,41,timemap_20.json.gz,timemap_ba6dff725d702e9c9408fa7e3738a79e.json.gz
https://catalog.odu.edu/,341,350,9,timemap_200.json.gz,timemap_3c3ed3d4b5c6291d7dde704d5248f81f.json.gz
https://www.odu.edu/regionalcenters,129,136,7,timemap_201.json.gz,timemap_1768bb86d31c5fc9d3899cee8c19a626.json.gz
https://www.odu.edu/tuition-aid/tuition,62,63,1,timemap_202.json.gz,timemap_f375ea5621c5676f9d431daed8eb50fc.json.gz
https://www.odu.edu/a-to-z-index,32,35,3,timemap_203.json.gz,timemap_840acc35b348fae02617c662b36c0d0e.json.gz
https://www.odu.edu/ts/software-services/facultyemail,54,60,6,timemap_204.json.gz,timemap_6a2b03c8c45471904ae4462dc497dbff.json.gz
https://www.odu.edu/about/planning,235,246,11,timemap_205.json.gz,timemap_6365fc2af643cea17a71550e8e33da09.json.gz
https://www.odu.edu/al/centers/writing-center,116,130,14,timemap_206.json.gz,timemap_855b45bf6e84858fbdf54c063ac9e475.json.gz
https://www.odu.edu/facultystaff/research/development,70,75,5,timemap_208.json.gz,timemap_2786141e35b2ea49573c6c35c282f6d2.json.gz
https://www.odu.edu/about,343,364,21,timemap_209.json.gz,timemap_bdef36c59ce77ee83edce433369f1d14.json.gz
https://www.ripta.com/holidays/,2,38,36,timemap_21.json.gz,timemap_a46f0affb81a2d0bc9fe592315812b4e.json.gz
https://www.odu.edu/al/about/advisory-board,2,2,0,timemap_210.json.gz,timemap_8501bce7a7eebdfdb8ac543efd58c8ad.json.gz
https://www.odu.edu/military,36,252,216,timemap_211.json.gz,timemap_522d8513ba5b1e576caa8ef6aa87fba9.json.gz
https://www.odu.edu/oir/lgbt,39,43,4,timemap_212.json.gz,timemap_5c9b2b3443b4cd92ec6ed2561c76242f.json.gz
https://www.odu.edu/admissions-aid,7,39,32,timemap_213.json.gz,timemap_499e3bf63048f772e5cd5776bc01beb2.json.gz
https://www.odu.edu/facultystaff,285,295,10,timemap_214.json.gz,timemap_5c28349a3deb7d68296025763dd45256.json.gz
https://www.odu.edu/admission/graduate,37,309,272,timemap_215.json.gz,timemap_5cbfc64864ed6e2b88857686ac66b0af.json.gz
https://www.odu.edu/recwell,26,158,132,timemap_216.json.gz,timemap_bb8446d87ee7e16e3df56d6f1fb57d3a.json.gz
https://www.odu.edu/success,29,126,97,timemap_217.json.gz,timemap_f49d97e18065d6dd2f96aac798c3d8de.json.gz
https://odu.campusgroups.com/login_only?redirect=https%3a%2f%2fodu.campusgroups.com%2fgroups,3,41,38,timemap_218.json.gz,timemap_52c4de1e35a097c85e8c62723a871634.json.gz
https://www.odu.edu/research,291,301,10,timemap_219.json.gz,timemap_a7eceedef96d000b071ed655e9255791.json.gz
https://www.ripta.com/projects-archive/current-projects/,31,37,6,timemap_22.json.gz,timemap_7bc580707e2de409e228eb99111e1aeb.json.gz
https://www.odu.edu/sci/directory,109,116,7,timemap_220.json.gz,timemap_d500425d77cdf870e8f67f0951e481e0.json.gz
https://www.odu.edu/about/compliance/transparency,33,220,187,timemap_221.json.gz,timemap_d91b573ceee49323cec9b492b6f700c0.json.gz
https://www.odu.edu/set/spirit/homecoming,49,52,3,timemap_222.json.gz,timemap_e2e9765b4ba91d1503e56ffe18cf5266.json.gz
https://www.odu.edu/parkingservices/parking,18,62,44,timemap_223.json.gz,timemap_ab20da3846bf4ef69e1fc024649cc68c.json.gz
https://www.odu.edu/academics/summer,36,254,218,timemap_224.json.gz,timemap_0cf01b27a02fdbbd5564285f8e954625.json.gz
https://www.odu.edu/employment,36,302,266,timemap_225.json.gz,timemap_514b94ef4a21c25f139d1c82e382b9cc.json.gz
https://www.odu.edu/prospective,260,264,4,timemap_226.json.gz,timemap_b06a67a4fc93d2c386b1cca6bb6ffee4.json.gz
https://www.odu.edu/bioelectrics,28,107,79,timemap_227.json.gz,timemap_4668a3ac2e9b4e3d032521662bd76979.json.gz
https://www.odu.edu/al/academics/teacher-preparation,19,64,45,timemap_228.json.gz,timemap_a061a9170d4c965b70e83437ea33dd1b.json.gz
https://www.odu.edu/admission/returning-student,11,47,36,timemap_229.json.gz,timemap_e8cf03ff99e69637c5fca3dcb5a9bb80.json.gz
https://www.oberlin.edu/,41899,47751,5852,timemap_23.json.gz,timemap_e3f253884336772d767d5ffe03f3dedc.json.gz
https://www.odu.edu/life/dean-students/student-outreach,28,129,101,timemap_230.json.gz,timemap_27e75055b4c3c78a42f7b280bfa64e92.json.gz
https://www.odu.edu/impact/initiatives,32,204,172,timemap_231.json.gz,timemap_d17784a0b224a657c2f0ab32c058e7c5.json.gz
https://www.odu.edu/events,48,61,13,timemap_232.json.gz,timemap_a1a57b3663c1160cf756bb5bdea4e83a.json.gz
https://www.odu.edu/academics/international-learning-opportunities/study-abroad,32,146,114,timemap_233.json.gz,timemap_531701abee923475ff22f4cf7a75c16f.json.gz
https://www.odu.edu/about/contact,33,314,281,timemap_234.json.gz,timemap_a49f1b6607df342fba38621cc1b95eb1.json.gz
https://www.odu.edu/life/culture/arts/diehn,106,114,8,timemap_235.json.gz,timemap_b10c01549227c83825e3c82761084462.json.gz
https://www.odu.edu/eps/directory,59,65,6,timemap_236.json.gz,timemap_93a244ed42ce1283afcf214bc9412999.json.gz
https://www.odu.edu/univ-impact/entrepreneurship/strome,144,152,8,timemap_237.json.gz,timemap_d160036592154006b299fa18dba97f07.json.gz
https://www.odu.edu/al/news,76,80,4,timemap_238.json.gz,timemap_204408e8da8c19981f146d0c88880235.json.gz
https://www.odu.edu/al/directory,96,101,5,timemap_239.json.gz,timemap_776be28bf575b405cc916abe1ce7da2b.json.gz
https://www.ripta.com/category/press-releases/,46,58,12,timemap_24.json.gz,timemap_8e507c4a3c10d079a9eb9d6b414244db.json.gz
https://www.odu.edu/al/academics,93,97,4,timemap_240.json.gz,timemap_5ac7d0e2648c0b415ed9d4c51d3f9d7a.json.gz
https://www.odu.edu/students,313,320,7,timemap_241.json.gz,timemap_487105e9df014b17c623d34324e5a42e.json.gz
https://www.odu.edu/cepd,252,274,22,timemap_242.json.gz,timemap_49356cadd3c7922247b87b1fc4e1e999.json.gz
https://www.bkstr.com/olddominionstore/home,55,60,5,timemap_243.json.gz,timemap_8559935bca6478241c53019bcbc3cafa.json.gz
https://www.odu.edu/hs/centers/globalhealth,109,117,8,timemap_244.json.gz,timemap_092634ac16ee5f7d9db3971b95807333.json.gz
https://www.odu.edu/al/about,76,80,4,timemap_245.json.gz,timemap_16bbadb0ae9463a460be80c135e0b59b.json.gz
https://www.odu.edu/al/academics/pre-law,60,64,4,timemap_246.json.gz,timemap_e906cb223b00dfb1600e8dfb9578ebc9.json.gz
https://www.odu.edu/al/academics/graduate,57,61,4,timemap_247.json.gz,timemap_a36731083b82a8511e13fa5df971aff2.json.gz
https://www.odu.edu/asis/trio,65,70,5,timemap_248.json.gz,timemap_4dbc929ce9823e402aaf21804cce3917.json.gz
https://www.youtube.com/channel/UCBNgsDl2hppmwMyGR2NmL9A,82,81,-1,timemap_249.json.gz,timemap_4bf690e11ac0d87df5f097065618cff6.json.gz
https://www.risd.edu,13271,13841,570,timemap_25.json.gz,timemap_bed92a9a984ef6a332ad8e37f628fff2.json.gz
https://www.odu.edu/emergency,37,152,115,timemap_250.json.gz,timemap_5a5243e28c3bc215ca772578eff4996b.json.gz
https://www.odu.edu/business/center/port,33,156,123,timemap_251.json.gz,timemap_9ebb7be8025cde2d807114de04810224.json.gz
https://www.odu.edu/military-connection,20,74,54,timemap_252.json.gz,timemap_02fcc7cffb8a27b720034b370e6e67d4.json.gz
https://www.odu.edu/success/academic/advising,130,135,5,timemap_253.json.gz,timemap_31f8cf79702f983a06a4f76d1e1993ec.json.gz
https://www.odu.edu/set,69,69,0,timemap_254.json.gz,timemap_f92c3912ef3dfc58c7ef0fc51f863b69.json.gz
https://www.odu.edu/admission/admitted/undergraduate,18,163,145,timemap_255.json.gz,timemap_f5b1863c948ddbd6e0e91638f43fb72b.json.gz
https://www.odu.edu/honors,35,322,287,timemap_256.json.gz,timemap_537ab5a4d8d7e424b5fe3a581a678251.json.gz
https://www.allassignmenthelp.com/university-of-phoenix-ldr-531-assignment-coursework-help.html,28,34,6,timemap_257.json.gz,timemap_8097dce01f995ed990bb8a3562dbf3a4.json.gz
https://www.ripta.com/riders-with-disabilities/,44,50,6,timemap_26.json.gz,timemap_857ce67673e340b33131023170b73513.json.gz
https://www.allassignmenthelp.com/my-assignment-help.html,2,85,83,timemap_260.json.gz,timemap_37fcdfbdd672ecce7b80b4804ac2b0fc.json.gz
https://www.allassignmenthelp.com/critical-essay-writing-help.html,21,26,5,timemap_261.json.gz,timemap_05e64e36c9e02c14c7ae53c1dc656d20.json.gz
https://www.allassignmenthelp.com/computer-programming-assignment-help.html,2,57,55,timemap_264.json.gz,timemap_916525907884db7c2a5b2b80231859de.json.gz
https://www.allassignmenthelp.com/uml-component-diagram-assignment-help.html,31,0,-31,timemap_266.json.gz,N/A
https://www.allassignmenthelp.com/essay-writing-services-by-usa-expert-writer.html,19,20,1,timemap_267.json.gz,timemap_e63ade7f6d49b4ec498eacf1710abf34.json.gz
https://www.allassignmenthelp.com/public-finance-assignment-help.html,27,35,8,timemap_268.json.gz,timemap_b45cd4b81f8391b8cec511dc8d2d300c.json.gz
https://www.allassignmenthelp.com/uml-class-diagram-assignment-help.html,35,41,6,timemap_269.json.gz,timemap_880692b14462111ed5bd72e9c85b59ad.json.gz
https://www.ripta.com/projects-archive/project-archive/,35,40,5,timemap_27.json.gz,timemap_15c66d15e5c303080fa0d0c2d0835ed0.json.gz
https://www.allassignmenthelp.com/sequence-diagram-assignment-help.html,29,36,7,timemap_270.json.gz,timemap_cd0f4007f38574211c42c9c96e3e7def.json.gz
https://www.allassignmenthelp.com/ruby-assignment-help.html,29,36,7,timemap_271.json.gz,timemap_0b04f4e877131ead7818cd06ae952d32.json.gz
https://www.allassignmenthelp.com/business-marketing-assignment-help.html,27,35,8,timemap_272.json.gz,timemap_f66a31e80c59e28a5c6a3a1cf6596da6.json.gz
https://www.allassignmenthelp.com/accounting-homework-help-us.html,24,0,-24,timemap_273.json.gz,N/A
https://www.allassignmenthelp.com/managerial-economics-assignment-help.html,38,44,6,timemap_274.json.gz,timemap_40a489d3111ef6d900580f8d229d42a7.json.gz
https://www.allassignmenthelp.com/middlesex-university-assignment-help.html,30,35,5,timemap_275.json.gz,timemap_e97c30f604aed5e7d749aa6969ee8de9.json.gz
https://www.allassignmenthelp.com/university-of-phoenix-ops-571-assignment-coursework-help.html,28,34,6,timemap_276.json.gz,timemap_f3161843cdb9fd4588995b741fb5eb84.json.gz
https://www.allassignmenthelp.com/law-assignment-help.html,59,64,5,timemap_277.json.gz,timemap_b9f05963b74957c323261bfc9365e951.json.gz
https://www.allassignmenthelp.com/management-presentations-assignment-help.html,27,34,7,timemap_278.json.gz,timemap_bfdb11fb6ee9c697fa286b0eaafc9f97.json.gz
https://www.allassignmenthelp.com/database-assignment-help.html,27,35,8,timemap_279.json.gz,timemap_18051816c27fce76be258a10f5e8db31.json.gz
https://www.ripta.com/transitcenter/,65,76,11,timemap_28.json.gz,timemap_5218a15f2879749eaea1390d2467ab70.json.gz
https://www.allassignmenthelp.com/assignment-help-in-uae.html,44,50,6,timemap_280.json.gz,timemap_18bb83d394f9b1bf6cdca0cb33632cc3.json.gz
https://www.allassignmenthelp.com/dissertation-proofreading-service.html,15,17,2,timemap_281.json.gz,timemap_70b55d63cb0103000b9e408bc30c4169.json.gz
https://www.allassignmenthelp.com/uk/,140,149,9,timemap_282.json.gz,timemap_25e68fed1dcc7b830c3e885a111369f4.json.gz
https://www.allassignmenthelp.com/online-assignment-help-sydney-australia.html,1,68,67,timemap_285.json.gz,timemap_90ec0d4c0ef1e5d4f4aa7b6321fd3e32.json.gz
https://en.wikipedia.org/wiki/Essay,136,1098,962,timemap_286.json.gz,timemap_306eb54e124184241200b762516b2f48.json.gz
https://www.allassignmenthelp.com/subject-expert-for-assignment.html,13,16,3,timemap_288.json.gz,timemap_e04036b301f0da1f64e4943bbcd13c5a.json.gz
https://www.vcu.edu/,3688,3714,26,timemap_29.json.gz,timemap_479dc0e86d24dc721f7a86604ffd59d6.json.gz
https://www.allassignmenthelp.com/essay-writing-service.html,11,51,40,timemap_291.json.gz,timemap_97b0173b621e62e45d6394ce3d68cde5.json.gz
https://www.allassignmenthelp.com/assignment-help-melbourne.html,1,62,61,timemap_292.json.gz,timemap_40880fff7c4a1db751daea1cff98f367.json.gz
https://www.allassignmenthelp.com/university-of-phoenix-law-531-assignment-coursework-help.html,31,37,6,timemap_296.json.gz,timemap_2228e2a60f3da437ca6be5725c1db25d.json.gz
https://www.risd.edu/,13271,13841,570,timemap_3.json.gz,timemap_6892588a821a011f1e6fa34f02205c82.json.gz
https://www.risd.edu/student-financial-services/student-accounts,4,81,77,timemap_30.json.gz,timemap_cb5968761ff67cf6d037534fa33cea24.json.gz
https://www.youtube.com/ads/,1609,72411,70802,timemap_377.json.gz,timemap_c4dbeeb75d56d35d0dcaa57e71384d8d.json.gz
https://www.youtube.com/t/terms,6073,347675,341602,timemap_301.json.gz,timemap_b81d777b9d0781b3cb533166ad7825a9.json.gz
https://support.google.com/youtube/answer/10834785?hl=en,13,151,138,timemap_302.json.gz,timemap_4229154fbc59ad982ff2f0c0f2eb30ff.json.gz
https://www.linkedin.com/company/common-sense-media,3,70,67,timemap_303.json.gz,timemap_4d4c2459b2f53414a37c3963166db449.json.gz
https://www.youtube.com/user/weebly,6024,6199,175,timemap_304.json.gz,timemap_8204eddee50b709e33abc4793e6884e4.json.gz
https://www.youtube.com/premium/,63045,63800,755,timemap_307.json.gz,timemap_38cd1020130503f24b6794235f895a72.json.gz
